"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,8192416849357;0,542844901584414;0,515681233933162;0,515681233933162;0,561286001339585;0,561286001339585;0,561286001339585;-0,964745305402265;0,244974833660458
"todas";3;0,3;"sigmoid";0,708045328552128;0,5235646958012;0,533419023136247;0,533419023136247;0,54519368723099;0,54519368723099;0,54519368723099;-0,0218969978465718;0,327948084038557
"todas_tab1";3;0;"sigmoid";0,731971104224727;0,513281919604811;0,510796915289675;0,510796915167095;0,546067415730337;0,546067415730337;0,546067415730337;-0,989722678273784;0,506468572752243
"todas_tab1";3;0,3;"sigmoid";0,692622046145804;0,509425878371555;0,534961439527399;0,534961439588689;0,534565916398714;0,534565916398714;0,534565916398714;-0,209754675101334;2,07281251449751
"lasso";3;0;"sigmoid";0,872916795784526;0,534704370282099;0,510539845758355;0,510539845758355;0,547246376811594;0,547246376811594;0,547246376811594;-1,18218132075371;0,245826058325645
"lasso";3;0,3;"sigmoid";0,71683892523415;0,522707797874215;0,527506426857799;0,527506426735219;0,53464447806354;0,53464447806354;0,53464447806354;-0,305704706393955;1,29634884853677
"lasso_tab1";3;0;"sigmoid";0,769338991893288;0,5089974294336;0,49640102830828;0,496401028277635;0,541666666666667;0,541666666666667;0,541666666666667;-0,845775984235827;0,283664003256577
"lasso_tab1";3;0,3;"sigmoid";0,699305060528851;0,510711225415257;0,533676092483697;0,533676092544987;0,535325328120637;0,535325328120637;0,535325328120637;-0,41087805151879;2,16676274148331
"stepwise";3;0;"sigmoid";0,689501546465033;0,577120822877483;0,575321336699635;0,575321336760925;0,594019030357952;0,594019030357952;0,594019030357952;-8,08487518508732;0,368427165215378
"stepwise";3;0,3;"sigmoid";0,694857506641692;0,522707798129591;0,5357326478762;0,53573264781491;0,538213762811127;0,538213762811127;0,538213762811127;-0,757142824523017;0,282087432035405
"stepwise_tab1";3;0;"sigmoid";0,691943525747039;0,505998286561468;0,530848328987553;0,530848329048843;0,532720389399675;0,532720389399675;0,532720389399675;-0,191344607295713;0,496848884294134
"stepwise_tab1";3;0,3;"sigmoid";0,691666662784959;0,506855184590602;0,529820051352592;0,529820051413882;0,532075471698113;0,532075471698113;0,532075471698113;-0,196471729489853;1,74943807046245
"torneio";3;0;"sigmoid";0,696368011410868;0,535132819500966;0,528534704339535;0,52853470437018;0,558395989974937;0,558395989974937;0,558395989974937;0,282594653908951;0,213468282127509
"torneio";3;0,3;"sigmoid";0,695579771885222;0,529562981954066;0,54267352178961;0,5426735218509;0,542502951593861;0,542502951593861;0,542502951593861;-1,49726898315559;0,791486520764204
"torneio_tab1";3;0;"sigmoid";0,705104852396909;0,521422451085889;0,529305912535111;0,529305912596401;0,534282393957002;0,534282393957002;0,534282393957002;-0,288140422429239;0,937640593091004
"torneio_tab1";3;0,3;"sigmoid";0,693670421271827;0,506855184590602;0,534961439527399;0,534961439588689;0,534510433386838;0,534510433386838;0,534510433386838;-0,201341014217755;1,84308205566893
"todas";3;0;"sigmoid";0,838797475071983;0,521850899691855;0,526735218631578;0,526735218508997;0,53241537578887;0,53241537578887;0,53241537578887;0,0392187022714572;-0,456810348329679
"todas";3;0,3;"sigmoid";0,707195615645852;0,533419023085172;0,5321336760619;0,532133676092545;0,536657761947165;0,536657761947165;0,536657761947165;0,0129004015739303;0,210144896573071
"todas_tab1";3;0;"sigmoid";0,704497232964229;0,503427592167613;0,532904884257476;0,532904884318766;0,532671197072661;0,532671197072661;0,532671197072661;-0,164492466593137;4,83369325423281
"todas_tab1";3;0,3;"sigmoid";0,69294207405615;0,507283633298719;0,533933161892437;0,533933161953728;0,533562367864693;0,533562367864693;0,533562367864693;-0,185616937822115;3,30142744196311
"lasso";3;0;"sigmoid";0,795162129677966;0,525278491859469;0,495115681233933;0,495115681233933;0,539282990083905;0,539282990083905;0,539282990083905;-1,8473093219752;0,275141738028287
"lasso";3;0,3;"sigmoid";0,70535919767419;0,52742073688123;0,535989717193005;0,53598971722365;0,539505428226779;0,539505428226779;0,539505428226779;0,0156302530791429;0,180136746272202
"lasso_tab1";3;0;"sigmoid";0,797208460498898;0,506855184284151;0,533419023074957;0,533419023136247;0,535775127768313;0,535775127768313;0,535775127768313;-0,488864837708953;-1,11089637909658
"lasso_tab1";3;0,3;"sigmoid";0,693690107414226;0,506855184284151;0,53573264775362;0,53573264781491;0,535645998361103;0,535645998361103;0,535645998361103;-0,260309784395907;2,36829987172414
"stepwise";3;0;"sigmoid";0,648483426803795;0,62767780618782;0,633676092606277;0,633676092544987;0,674267100977199;0,674267100977199;0,674267100977199;-1,31681234564971;0,439908577435539
"stepwise";3;0,3;"sigmoid";0,694625892277548;0,518851756692035;0,533419023074957;0,533419023136247;0,535472972972973;0,535472972972973;0,535472972972973;-0,333784280560101;0,459436684063366
"stepwise_tab1";3;0;"sigmoid";0,693534460288393;0,506426735167434;0,524678663177784;0,524678663239075;0,531448355452972;0,531448355452972;0,531448355452972;-0,247225899091109;0,814614403972045
"todas";3;0;"sigmoid";0,778915221341778;0,520994001713796;0,530334190353943;0,530334190231363;0,535419126328217;0,535419126328217;0,535419126328217;-0,00318932284902572;0,131835715016817
"todas";3;0,3;"sigmoid";0,692361838406953;0,497429305963672;0,531362467805034;0,531362467866324;0,531362467866324;0,531362467866324;0,531362467866324;-0,000875557318527974;NA
"todas_tab1";3;0;"sigmoid";0,704714962020325;0,514138817838246;0,534704370118658;0,534704370179949;0,535546334716459;0,535546334716459;0,535546334716459;-0,252391662253899;1,4950153396195
"todas_tab1";3;0,3;"sigmoid";0,692528576133797;0,497429305963672;0,531362467805034;0,531362467866324;0,531362467866324;0,531362467866324;0,531362467866324;-0,000875557318527974;NA
"lasso";3;0;"sigmoid";0,763916110869851;0,516709511619199;0,530334190353943;0,530334190231363;0,535190615835777;0,535190615835777;0,535190615835777;0,0921231263754036;-0,338217669291866
"lasso";3;0,3;"sigmoid";0,692377180489293;0,497429305963672;0,531362467805034;0,531362467866324;0,531362467866324;0,531362467866324;0,531362467866324;-0,000875557318527974;NA
"lasso_tab1";3;0;"sigmoid";0,737998315791544;0,505998286255017;0,533161953788797;0,533161953727506;0,534987454697519;0,534987454697519;0,534987454697519;-0,342702930430251;1,8200117888962
"lasso_tab1";3;0,3;"sigmoid";0,692504047274896;0,497429305963672;0,531362467805034;0,531362467866324;0,531362467866324;0,531362467866324;0,531362467866324;-0,000875557318527974;NA
