"Variables";"Hidden_layers";"Dropout";"Activation";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,635294117769604;0,628675210754521;0,62867521074635;0,613639943298157;0,613639943298157;0,613639943298157;-0,0329448138562145;-0,0131708173067793
"todas";3;0,3;"sigmoid";0,634037692855931;0,62867521068916;0,62867521074635;0,622808510638298;0,622808510638298;0,622808510638298;-0,0346147359925764;-0,014557727307912
"todas_tab1";3;0;"sigmoid";0,523929183466784;0,52313069697845;0,523130697005003;0,487014725568942;0,487014725568942;0,487014725568942;-0,0307446204615367;-0,0392236069445463
"todas_tab1";3;0,3;"sigmoid";0,538549400492439;0,525597971327693;0,525597971352203;0,490009826400262;0,490009826400262;0,490009826400262;-0,0236736419549336;-0,0404622433921456
"lasso";3;0;"sigmoid";0,624214734587242;0,625522582430157;0,625522582413817;0,59606656580938;0,59606656580938;0,59606656580938;-0,0318533300091316;-0,0118429556490767
"lasso";3;0,3;"sigmoid";0,635522558640099;0,63470632582954;0,634706325817285;0,656575986909388;0,656575986909388;0,656575986909388;-0,0517977390083925;-0,00318735154698711
"lasso_tab1";3;0;"sigmoid";0,517418618061963;0,531354944812664;0,531354944829004;0,503535198278512;0,503535198278512;0,503535198278512;-0,0738551457161247;0,00875558071915302
"lasso_tab1";3;0,3;"sigmoid";0,533752141796746;0,529161812059597;0,529161812075937;0,497839654344695;0,497839654344695;0,497839654344695;-0,0740660315535158;-0,0292789144818669
"stepwise";3;0;"sigmoid";0,646601941870118;0,652731135574363;0,652731135631554;0,651315789473684;0,651315789473684;0,651315789473684;-0,0385552728718735;-0,00601319562397517
"stepwise";3;0,3;"sigmoid";0,64123358093351;0,641491330280256;0,641491330272085;0,650814211695041;0,650814211695041;0,650814211695041;-0,0662674695724572;-0,00392816007509501
"stepwise_tab1";3;0;"sigmoid";0,545174186308679;0,531903227996846;0,531903228017271;0,503236583837962;0,503236583837962;0,503236583837962;0,00544831313947654;-0,0479995428590244
"stepwise_tab1";3;0,3;"sigmoid";0,549057681461119;0,53594681651644;0,535946816530738;0,516071428571429;0,516071428571429;0,516071428571429;-0,113177629226954;0,0496314576447951
"torneio";3;0;"sigmoid";0,650942318763548;0,650126790491372;0,650126790487287;0,626841953192719;0,626841953192719;0,626841953192719;-0,0298491188315939;-0,0237864996005535
