"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,667740601223411;0,627466773871592;0,625422909618173;0,625422909618173;0,63247266806234;0,63247266806234;0,63247266806234;0,0134776283070374;0,0798360199462745
"todas";3;0,3;"sigmoid";0,641574021783527;0,651832461093061;0,641130981179123;0,641130981150314;0,661245235069886;0,661245235069886;0,661245235069886;-0,096599033133019;0,115952564320163
"todas_tab1";3;0;"sigmoid";0,711154568823367;0,512686266660978;0,513653939072207;0,513653939101015;0,51928622927181;0,51928622927181;0,51928622927181;-0,0717724361961147;0,0856535379916199
"todas_tab1";3;0,3;"sigmoid";0,694126094551464;0,530608135848289;0,520178830352827;0,520178830352827;0,523937120400143;0,523937120400143;0,523937120400143;-0,208346583496797;0,187554651585175
"lasso";3;0;"sigmoid";0,666005486909637;0,636729762240182;0,626752054132431;0,626752054132431;0,640380859375;0,640380859375;0,640380859375;0,00534376426496909;0,0631882785531346
"lasso";3;0,3;"sigmoid";0,640447209427586;0,649617398044442;0,635451909163656;0,635451909134848;0,692744479495268;0,692744479495268;0,692744479495268;-0,144195648953691;0,0995871447640988
"lasso_tab1";3;0;"sigmoid";0,708596492314926;0,494160289803773;0,502054132416722;0,502054132431126;0,532668881506091;0,532668881506091;0,532668881506091;-0,216764347387526;0,0719185420671951
"lasso_tab1";3;0,3;"sigmoid";0,694984806165884;0,532621828433347;0,508095698433835;0,508095698405027;0,514079785450888;0,514079785450888;0,514079785450888;-0,274325770164173;0,288295644804836
"stepwise";3;0;"sigmoid";0,629004771436338;0,652436569051017;0,652972450430351;0,652972450459159;0,645953448644032;0,645953448644032;0,645953448644032;-0,0797992533495058;0,149500950874647
"stepwise";3;0,3;"sigmoid";0,638727849868832;0,635722915563572;0,632068632131847;0,632068632189464;0,68844696969697;0,68844696969697;0,68844696969697;-0,172884046142989;0,131895719874532
"stepwise_tab1";3;0;"sigmoid";0,692696990829669;0,519130084611118;0,506524891280621;0,506524891251812;0,516556291390728;0,516556291390728;0,516556291390728;0,0321797785941753;-0,0441944145019216
"todas";3;0;"sigmoid";0,669582399784971;0,624043496179331;0,622039632701597;0,622039632672789;0,637397971803117;0,637397971803117;0,637397971803117;-0,0463008031085945;0,12104013493217
"todas";3;0,3;"sigmoid";0,641864830483095;0,642368102885042;0,635331077872987;0,63533107781537;0,670960515261831;0,670960515261831;0,670960515261831;-0,0761707173904248;0,0894565418352445
"todas_tab1";3;0;"sigmoid";0,702429185373418;0,522754732286839;0,519212179797003;0,519212179797003;0,517491926803014;0,517491926803014;0,517491926803014;0,0312481001308207;-0,0510436100999815
"todas_tab1";3;0,3;"sigmoid";0,694392456704145;0,531010873942811;0,514620589671243;0,514620589656839;0,518630412890232;0,518630412890232;0,518630412890232;-0,239259000808623;0,222252602988444
"lasso";3;0;"sigmoid";0,670835356253711;0,63632702419367;0,621072982059348;0,621072982116965;0,617066440246232;0,617066440246232;0,617066440246232;-0,0204146255225316;0,104634788070686
"lasso";3;0,3;"sigmoid";0,643236068148956;0,652637937762206;0,638835186137849;0,638835186080232;0,673322240709928;0,673322240709928;0,673322240709928;-0,101046782307169;0,120830688486828
"lasso_tab1";3;0;"sigmoid";0,698073120956089;0,530205396733551;0,510753987419139;0,510753987433543;0,514918341708543;0,514918341708543;0,514918341708543;-0,19109175516325;0,347810903052695
"lasso_tab1";3;0,3;"sigmoid";0,694974544170457;0,531816351236089;0,511599806655485;0,511599806669889;0,515833467288217;0,515833467288217;0,515833467288217;-0,255097647481411;0,348614459118439
"stepwise";3;0;"sigmoid";0,629180641091348;0,660088602256929;0,654180763596322;0,654180763653939;0,670210135970334;0,670210135970334;0,670210135970334;-0,0943480110523059;0,140921559661093
"stepwise";3;0,3;"sigmoid";0,638563807889884;0,648811921423306;0,639318511300527;0,639318511358144;0,664050235478807;0,664050235478807;0,664050235478807;-0,0904183656767931;0,127119353249762
"todas";3;0;"sigmoid";0,672088674095416;0,621627064563553;0,616239729366653;0,616239729337844;0,620167307257518;0,620167307257518;0,620167307257518;-0,0439124606649161;0,135058604029853
"todas";3;0,3;"sigmoid";0,693727098697047;0,486306886662411;0,487796036718317;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"todas_tab1";3;0;"sigmoid";0,705646583975197;0,513491743870239;0,517158047423494;0,517158047365877;0,51985618565125;0,51985618565125;0,51985618565125;-0,0614317347613141;0,136464084384237
"todas_tab1";3;0,3;"sigmoid";0,693906774550835;0,486306886662411;0,487796036718317;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"lasso";3;0;"sigmoid";0,672799090995715;0,621627064443528;0,615031416085447;0,615031416143064;0,635173299101412;0,635173299101412;0,635173299101412;-0,0578345292374295;0,101185854090854
"lasso";3;0,3;"sigmoid";0,693855964457603;0,486306886662411;0,487796036718317;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"lasso_tab1";3;0;"sigmoid";0,697081839248949;0,487716472585788;0,489971000468921;0,489971000483325;0,517374517374517;0,517374517374517;0,517374517374517;0,112399034935604;0,027452822892084
"lasso_tab1";3;0,3;"sigmoid";0,693800500477495;0,486306886662411;0,487796036718317;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"stepwise";3;0;"sigmoid";0,628713087392579;0,65485300078682;0,655026582861477;0,655026582890285;0,660482374768089;0,660482374768089;0,660482374768089;-0,0373302748049417;0,113613435944896
"stepwise";3;0,3;"sigmoid";0,693752730797315;0,486306886662411;0,487796036718317;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"stepwise_tab1";3;0;"sigmoid";0,693354993900163;0,530608135464208;0,514499758337361;0,514499758337361;0,515671535952347;0,515671535952347;0,515671535952347;0,0118717319002624;0,0944506447550164
"stepwise_tab1";3;0,3;"sigmoid";0,693954728835444;0,486306886662411;0,487796036718317;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"torneio";3;0;"sigmoid";0,633594029245888;0,65304067638484;0,645964233929434;0,645964233929434;0,640480789869071;0,640480789869071;0,640480789869071;0,00264155357990733;0,0820234280958914
"torneio";3;0,3;"sigmoid";0,693910916108564;0,486306886662411;0,487796036718317;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
"torneio_tab1";3;0;"sigmoid";0,698793110235582;0,488521949735035;0,489850169192656;0,489850169163847;0,511724137931034;0,511724137931034;0,511724137931034;-0,637396055438001;0,0945980250717804
"torneio_tab1";3;0,3;"sigmoid";0,693918723596819;0,486306886662411;0,487796036718317;0,487796036732721;NA;NA;NA;NA;0,0298742085551826
