"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,659594835018025;0,628525382755842;0,625710141423909;0,625710141423909;0,630591223366728;0,630591223366728;0,630591223366728;-6,86644940994885;2,08620318023861
"todas";3;0,3;"sigmoid";0,641866891607183;0,643029814809681;0,63054514686329;0,63054514686329;0,647833409891288;0,647833409891288;0,647833409891288;-8,03799430739194;0,452958319132144
"todas_tab1";3;0;"sigmoid";0,701693415980406;0,510878323956327;0,517526894717757;0,517526894717757;0,504257992461259;0,504257992461259;0,504257992461259;-7,52694961277435;-0,0239146989821169
"todas_tab1";3;0,3;"sigmoid";0,692104355651725;0,517022562401608;0,510334824126677;0,510334824126677;0,497368898566503;0,497368898566503;0,497368898566503;-22,5665385477676;0,130762593049867
"lasso";3;0;"sigmoid";0,665029551297567;0,631748589942957;0,616704943793062;0,616704943793062;0,60162407451636;0,60162407451636;0,60162407451636;-1,4865775135475;0,355517935850513
"lasso";3;0,3;"sigmoid";0,642957378684516;0,647260273924573;0,641605221805875;0,641605221805875;0,646968854282536;0,646968854282536;0,646968854282536;-3,26842244402513;0,435649914180915
"lasso_tab1";3;0;"sigmoid";0,695798877201129;0,51238920223223;0,51226882630243;0,51226882630243;0,498581095830605;0,498581095830605;0,498581095830605;-8,65633805657467;0,864806384862311
"lasso_tab1";3;0,3;"sigmoid";0,691788014269907;0,521857373086221;0,512752326846368;0,512752326846368;0,499142857142857;0,499142857142857;0,499142857142857;-0,665999593831305;-0,599800292798338
"stepwise";3;0;"sigmoid";0,644959535515036;0,640310233874632;0,634413151214795;0,634413151214795;0,630035197497067;0,630035197497067;0,630035197497067;-3,35282478496884;0,508376322930176
"stepwise";3;0,3;"sigmoid";0,648001951201859;0,636986301513952;0,632781336879004;0,632781336879004;0,641419948260995;0,641419948260995;0,641419948260995;-3,62352234483449;0,381928974027482
"stepwise_tab1";3;0;"sigmoid";0,694908768727531;0,522260273900558;0,513054514686329;0,513054514686329;0,498693992364878;0,498693992364878;0,498693992364878;-10,2022121519694;0,0425626594530859
"stepwise_tab1";3;0,3;"sigmoid";0,690857823866534;0,521353746882184;0,518312583101656;0,518312583101656;0,505126073704627;0,505126073704627;0,505126073704627;-26,0902373651804;0,0440266734424411
"torneio";3;0;"sigmoid";0,639316540934163;0,644238517420797;0,637616342318385;0,637616342318385;0,614746750336172;0,614746750336172;0,614746750336172;-5,57407606250921;1,0360087534044
"torneio";3;0,3;"sigmoid";0,643643282300743;0,637389202304275;0,63374833796688;0,63374833796688;0,637510396451345;0,637510396451345;0,637510396451345;-3,20880662167413;1,1099954927752
"torneio_tab1";3;0;"sigmoid";0,692689730800309;0,518029814713622;0,517466457149764;0,517466457149764;0,509881422924901;0,509881422924901;0,509881422924901;-0,271940973141883;-0,6775248831716
"torneio_tab1";3;0,3;"sigmoid";0,691978069929867;0,51943996767187;0,518191707965671;0,518191707965671;0,510315186246418;0,510315186246418;0,510315186246418;-0,315206315914806;-0,647910238049875
