"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,648693737497133;0,636434898622602;0,630638257847204;0,630638257842999;0,625309191649352;0,625309191649352;0,625309191649352;0,0476889258090491;0,0269491198200452
"todas";3;0,3;"sigmoid";0,636460968439512;0,65179901245181;0,640327359971668;0,640327359954847;0,610630907181517;0,610630907181517;0,610630907181517;0,0266133498573005;0,0557311448642958
"todas_tab1";3;0;"sigmoid";0,703750220007161;0,499490475833551;0,507690136877335;0,507690136870326;0,494742308191614;0,494742308191614;0,494742308191614;0,0282423411970701;0,0458356639882949
"todas_tab1";3;0,3;"sigmoid";0,693992271525274;0,498863369289532;0,510935515740041;0,510935515733032;0,499287072243346;0,499287072243346;0,499287072243346;-0,021682634414877;0,0571589074308056
"lasso";3;0;"sigmoid";0,648177067825641;0,638943325392064;0,631767085290326;0,631767085273505;0,603698596804283;0,603698596804283;0,603698596804283;0,0338598742351755;0,0310711389288298
"lasso";3;0,3;"sigmoid";0,635645832898145;0,650231245735498;0,63915149806489;0,639151498048069;0,61068515497553;0,61068515497553;0,61068515497553;0,0194313828697087;0,0648398000391351
"lasso_tab1";3;0;"sigmoid";0,69911645069199;0,51117033787008;0,509618550398843;0,509618550397441;0,497818023128955;0,497818023128955;0,497818023128955;0,0483484342324697;0,0370903632534971
"lasso_tab1";3;0,3;"sigmoid";0,694706304491276;0,492592302428954;0,510653308882414;0,510653308875406;0,498848221141541;0,498848221141541;0,498848221141541;0,000516104728438556;0,0599067138187341
"stepwise";3;0;"sigmoid";0,63030143267101;0,655404875889985;0,646488876363183;0,646488876346362;0,636096358118361;0,636096358118361;0,636096358118361;0,0272969165678416;0,0480443109853205
"stepwise";3;0,3;"sigmoid";0,633483759811123;0,655561652561616;0,64423122148675;0,644231221485349;0,633339633339633;0,633339633339633;0,633339633339633;0,00339492355415945;0,0722413491245074
"stepwise_tab1";3;0;"sigmoid";0,693095292493208;0,498863369312893;0,515121584132375;0,515121584121161;0,505300839873331;0,505300839873331;0,505300839873331;0,0206060630900299;0,0414517936760717
"stepwise_tab1";3;0,3;"sigmoid";0,692258101811913;0,496511719215063;0,519448755954923;0,519448755938103;0,532092669958223;0,532092669958223;0,532092669958223;-0,0678517361557542;0,0541604471025766
"torneio";3;0;"sigmoid";0,628861878111235;0,656815865953355;0,64888763463759;0,648887634636188;0,631945071822206;0,631945071822206;0,631945071822206;0,02985097119234;0,0512066940062605
"torneio";3;0,3;"sigmoid";0,633894402970936;0,650858352422023;0,640938808163192;0,640938808146371;0,622835207998572;0,622835207998572;0,622835207998572;0,00671388969081671;0,0768000061381176
"torneio_tab1";3;0;"sigmoid";0,694389869075555;0,497609155902465;0,512393584504445;0,512393584497437;0,502542146106502;0,502542146106502;0,502542146106502;-0,0798144211132613;0,064093383938143
"torneio_tab1";3;0,3;"sigmoid";0,692711246980279;0,496041389158118;0,515450825462067;0,515450825455059;0,521989528795812;0,521989528795812;0,521989528795812;-0,324651330212163;0,0687605524499417
"todas";3;0;"sigmoid";0,648249352100533;0,645998275592109;0,630497154418391;0,630497154414186;0,623970991767934;0,623970991767934;0,623970991767934;0,0425205862924182;0,0296713860151895
"todas";3;0,3;"sigmoid";0,639137063393235;0,654699380891006;0,642114670054551;0,642114670053149;0,617222456732799;0,617222456732799;0,617222456732799;0,0238370657514955;0,0563001376520593
"todas_tab1";3;0;"sigmoid";0,703310710192568;0,499725641011538;0,506420206025023;0,506420206011006;0,494149512459372;0,494149512459372;0,494149512459372;0,0605755304976503;0,0261512284402849
"todas_tab1";3;0,3;"sigmoid";0,693458061012262;0,49549267084946;0,517002963173407;0,517002963172005;0,510214772132006;0,510214772132006;0,510214772132006;-0,0410535052211715;0,0572459955489172
"lasso";3;0;"sigmoid";0,650074316096616;0,647174100652705;0,633084050625917;0,633084050609096;0,613426941641071;0,613426941641071;0,613426941641071;0,0384539818772328;0,0323311877323833
"lasso";3;0,3;"sigmoid";0,636541392938207;0,656737477608195;0,642773152722346;0,642773152720944;0,627315026001277;0,627315026001277;0,627315026001277;0,0151520759593598;0,0625432305032587
"lasso_tab1";3;0;"sigmoid";0,699896532128085;0,504193776148356;0,504538826960863;0,504538826960162;0,489745011086475;0,489745011086475;0,489745011086474;0,0679162340250228;0,0223085695097677
"todas";3;0;"sigmoid";0,65211445649364;0,636748452003243;0,62950943042651;0,629509430412492;0,610363332453594;0,610363332453594;0,610363332453594;0,0408424168999091;0,036699834104516
"todas";3;0,3;"sigmoid";0,642583337127756;0,652112565804417;0,634730257292603;0,634730257278585;0,600784736113248;0,600784736113248;0,600784736113248;0,0262082707568813;0,04689133221744
"todas_tab1";3;0;"sigmoid";0,703516281854904;0,500274359352902;0,503645171927832;0,503645171911011;0,492696580075221;0,492696580075221;0,492696580075221;0,0303101901574186;0,0443171076868738
"todas_tab1";3;0,3;"sigmoid";0,693082599989542;0,484361527182329;0,511499929455294;0,511499929448286;NA;NA;NA;NA;0,0390128752415657
"lasso";3;0;"sigmoid";0,645116161172553;0,641451752124147;0,636846808727606;0,636846808710785;0,632626654722803;0,632626654722803;0,632626654722803;0,0352147425756677;0,0348169402688348
"lasso";3;0,3;"sigmoid";0,639922269194355;0,655091322551394;0,637740463761338;0,637740463759936;0,637303048905259;0,637303048905259;0,637303048905259;0,0213561365216136;0,0498374251205128
"lasso_tab1";3;0;"sigmoid";0,699660918292207;0,498471427605781;0,503457034022747;0,503457034005926;0,491553887187593;0,491553887187593;0,491553887187593;0,0483160570491768;0,0281602028806348
"lasso_tab1";3;0,3;"sigmoid";0,693044478730342;0,484361527182329;0,511499929455294;0,511499929448286;NA;NA;NA;NA;0,0390128752415657
"stepwise";3;0;"sigmoid";0,630218306582889;0,657207807623089;0,642490945880139;0,642490945863318;0,64755748648935;0,64755748648935;0,64755748648935;0,0252780157303311;0,0498917419108049
"stepwise";3;0,3;"sigmoid";0,638402952077971;0,653601944161553;0,64249094586472;0,642490945863318;0,630176685051884;0,630176685051884;0,630176685051884;0,0009594154329213;0,0771465007818904
"stepwise_tab1";3;0;"sigmoid";0,693005670967827;0,497138825901588;0,517097032141368;0,517097032124547;0,512710959196753;0,512710959196753;0,512710959196753;0,0199673394537719;0,0449178726537497
"stepwise_tab1";3;0,3;"sigmoid";0,693176155340178;0,484361527182329;0,511499929455294;0,511499929448286;NA;NA;NA;NA;0,0390128752415657
"torneio";3;0;"sigmoid";0,634325470650086;0,654072274195136;0,641973566641156;0,641973566624336;0,612617733030205;0,612617733030205;0,612617733030205;0,0336028174206659;0,0469543562902297
