"Variables";"Hidden_layers";"Dropout";"Activation";"Loss";"Accuracy_in";"Accuracy_out";"Acc";"Prec";"Recall";"Fscore";"erro_I";"erro_II"
"todas";3;0;"sigmoid";0,637318120577692;0,646296036002138;0,647837729563957;0,647837729563329;0,655501297115825;0,655501297115825;0,655501297115825;0,0928064290953327;0,343043545031807
"todas";3;0,3;"sigmoid";0,629679213415592;0,649493955597302;0,652834883084732;0,652834883083476;0,659129709017793;0,659129709017793;0,659129709017793;0,0168288355169054;0,457620762710558
"todas_tab1";3;0;"sigmoid";0,629716321366947;0,654448973871129;0,649882978051734;0,649882978050478;0,647858039075103;0,647858039075103;0,647858039075103;0,217612230136943;0,130868035588508
"todas_tab1";3;0,3;"sigmoid";0,693996524898513;0,513459375895306;0,509034937905197;0,509034937904569;0,527735548877497;0,527735548877497;0,527735548877497;0,0743444409065174;0,308724549619283
"lasso";3;0;"sigmoid";0,636540472361692;0,646506887810063;0,647247348557358;0,647247348556729;0,673308302756208;0,673308302756208;0,673308302756208;0,0771123925309958;0,325631835218303
"lasso";3;0,3;"sigmoid";0,62900887436218;0,651778183862806;0,653383094018804;0,653383094018175;0,666232073011734;0,666232073011734;0,666232073011734;0,00503327067024918;0,438676850000247
"lasso_tab1";3;0;"sigmoid";0,697454206803056;0,512967388248524;0,508318046682898;0,50831804668227;0,527855405944906;0,527855405944906;0,527855405944906;0,184940925216754;0,203717683466286
"lasso_tab1";3;0,3;"sigmoid";0,69378089738515;0,515567894309701;0,513420625382795;0,513420625382166;0,525184954222058;0,525184954222058;0,525184954222058;0,0961800873234574;0,516971870618371
"stepwise";3;0;"sigmoid";0,630250972661578;0,651040202401011;0,650093828410606;0,650093828409977;0,666585985719472;0,666585985719472;0,666585985719472;0,0805815617141351;0,338087597979406
"stepwise";3;0,3;"sigmoid";0,631251605195424;0,651180770278547;0,649461277332106;0,649461277331478;0,669049673363737;0,669049673363737;0,669049673363737;-0,0518564109566275;0,458578675251874
"stepwise_tab1";3;0;"sigmoid";0,694234640833262;0,521471745844869;0,509751829127497;0,509751829126869;0,525611119987218;0,525611119987218;0,525611119987218;0,148069805564434;0,370368889250126
"stepwise_tab1";3;0,3;"sigmoid";0,69258634949765;0,523053134630529;0,513568220634445;0,513568220633816;0,528779763825256;0,528779763825256;0,528779763825256;-0,253282896530784;0,582309809533637
"torneio";3;0;"sigmoid";0,629327872678853;0,647561147067531;0,652392097329154;0,652392097328526;0,666547249422817;0,666547249422817;0,666547249422817;0,0722513971578736;0,332189805442822
"torneio";3;0,3;"sigmoid";0,63070725829737;0,646647455754627;0,649819722943256;0,649819722942628;0,669266770670827;0,669266770670827;0,669266770670827;-0,0549986699379909;0,428415664027446
"torneio_tab1";3;0;"sigmoid";0,69566450226824;0,521260894011808;0,516477955595543;0,516477955594914;0,525904361421101;0,525904361421101;0,525904361421101;0,13919331293101;0,451035758597566
"torneio_tab1";3;0,3;"sigmoid";0,692790037245649;0,522420579156481;0,517426782213292;0,517426782212664;0,526601931243407;0,526601931243407;0,526601931243407;0,132973783683966;0,376456923040326
"todas";3;0;"sigmoid";0,638532555343093;0,646296035951867;0,645602715753887;0,64560271575263;0,653937399556134;0,653937399556134;0,653937399556134;0,120123997781099;0,295667515540777
"todas";3;0,3;"sigmoid";0,631659416642208;0,649388529676583;0,652307757185983;0,652307757184726;0,658637432668235;0,658637432668235;0,658637432668235;0,0208284833439661;0,469791587499074
"todas_tab1";3;0;"sigmoid";0,638532470925487;0,632379814433623;0,639846500938284;0,639846500938284;0,653537707897128;0,653537707897128;0,653537707897128;0,549297001443511;-0,162810517727227
"todas_tab1";3;0,3;"sigmoid";0,694119101334591;0,514373067191453;0,504902270859;0,504902270858372;0,525743428207147;0,525743428207147;0,525743428207147;-0,392127113159459;0,622869853482624
"lasso";3;0;"sigmoid";0,635749139610724;0,646647455721113;0,649882978051734;0,649882978050478;0,661485454759015;0,661485454759015;0,661485454759015;0,127289776402501;0,289657072707058
"lasso";3;0,3;"sigmoid";0,630279299421198;0,651180770278547;0,652855968120054;0,652855968119426;0,671042974802251;0,671042974802251;0,671042974802251;-0,0223650433976549;0,44378907910203
"lasso_tab1";3;0;"sigmoid";0,697122133942939;0,514900196761538;0,509477723660147;0,509477723659519;0,528543731150366;0,528543731150366;0,528543731150366;0,0806813402543359;0,308062993620379
"lasso_tab1";3;0,3;"sigmoid";0,693243479586433;0,517324993005119;0,514242941784844;0,514242941784216;0,524893080381621;0,524893080381621;0,524893080381621;0,0991829349967665;0,582619011543112
"stepwise";3;0;"sigmoid";0,629630318599546;0,651321338206354;0,650072743374656;0,650072743374027;0,655318988865483;0,655318988865483;0,655318988865483;0,0715672589695458;0,366382191553179
"stepwise";3;0,3;"sigmoid";0,631778467003634;0,649458813573458;0,647774474456107;0,647774474455479;0,676836942841022;0,676836942841022;0,676836942841022;-0,0794589261204262;0,445993369284548
